1,2,3
409,"Кран шаровый 1/2"" вн.-вн. ручка PN 40 LD (LD.47.301.15)",9.0
410,"Кран шаровый 1/2"" нар.-вн. бабочка (со сгоном) PN 40 LD",9.0
411,"Кран шаровый 1/2"" нар.-вн. бабочка PN 40 LD (LD.47.302.15)",9.0
417,"Кран шаровый 1/2"" нар.-вн. ручка PN 40 LD (LD.47.302.15)",9.0
97,Кран шаровый 1/2х3/4 для стир. машины AV,9.0
98,Кран шаровый 1/2х3/4 для стир. машины хром,9.0
397,"Кран шаровый 2"" вн.-вн. ручка PN1,6 МПа; 11Б27п5, Цветлит (ЦРБ0116)",9.0
663,"Кран шаровый 2"" нар.-вн. ручка PN25, AV Engineering",9.0
325,"Кран шаровый 2""(50) ВР/ВР рычаг",9.0
406,Кран шаровый 3/4 вн-вн. ручка PN40 AV,9.0
407,Кран шаровый 3/4 нар-вн. ручка PN40 AV,9.0
387,Кран шаровый 3/4 стандарт вн-вн. ручка Цветлит,9.0
394,Кран шаровый 3/4 стандарт вн-вн.бабочка Цветлит,9.0
22,Кран шаровый 3/4 стандарт нар-вн.ручка Цветлит,9.0
412,"Кран шаровый 3/4"" нар.-вн. бабочка (со сгоном) PN 40 LD (LD.47.306.20)",9.0
373,"Кран шаровый 3/4"" нар.-вн. бабочка, Цветлит (Кран с американкой 3/4"".)",9.0
176,Кран шаровый mini 1/2 нар-вн красная ручка,9.0
177,Кран шаровый mini 1/2 нар-вн синяя ручка,9.0
590,Кран шаровый STI рычаг г/г (65),9.0
303,Кран шаровый Temper 28620100 DN100 PN16,9.0
333,Кран шаровый для ПЭ труб 40 РосТурПласт,9.0
661,"Кран шаровый латунь  2"" вн.-вн. рычаг полнопроходной",9.0
561,Кран шаровый латунь 11Б27фт1М ВН/НР бабочка Ду 15 Ру40,9.0
23,Кран шаровый ПП 20 стандарт серый РосТурПласт,9.0
24,Кран шаровый ПП 25 стандарт серый РосТурПласт,9.0
80,Кран шаровый ПП 32 стандарт серый,9.0
714,Крепление для п/с,11.0
271,Крепление для умывальника - 004 Р,11.0
485,Крепление для умывальника-005Р,11.0
481,Крепление для унитаза,11.0
694,"Кронштейн для расширительного бака 1"", AV Engineering",11.0
370,"Кронштейн для расширительного бака 3/4"", AV Engineering",11.0
101,Кронштейн штыревой плоский с дюбелем для радиаторов 7х180мм,11.0
102,Кронштейн штыревой плоский с дюбелемдля радиаторов 7х215мм,11.0
719,Крышка люка лёгкого Д. колодцев,9.0
668,Кухонная мойка Frap F64557 57х45 cm,7.0
241,"Лен сантехнический AV Engineering,100g",8.0
428,"Лен сантехнический Unigarn,коса 200g",8.0
431,Люк канализационный Тип С (76кг),9.0
524,Люк канализационный Тип Т (105кг),9.0
740,Люк полимерный легкий А30 (30 кН) серый,9.0
331,Люк полимерный ЛП 3 тонны,9.0
430,Люк садовый А15 (15 кН) зеленый,9.0
289,Манжета переходная D50х25 трехлепестковая черная,10.0
420,Манжета переходная D50х32 белая,10.0
566,Манжета переходная D50х40 серая,10.0
